-0.518	0.272
-0.261	0.738
-0.135	0.995
-0.0695	1.25
-0.0348	1.52
-0.0193	1.75
-0.00961	2.01
-0.00694	2.28
-0.00542	2.51
-0.0898	2.77
-0.184	3.01
0.0234	3.27
0.199	3.51
0.038	3.72
0.0342	3.98
0.0258	4.23
0.00938	4.47
0.00129	4.71
0.000842	4.95
-0.00104	5.18
-0.002	5.39
-0.00259	5.65
-0.0028	5.86
-0.00279	6.09
-0.0112	6.32
-0.38	6.56
-0.164	6.76
-0.0153	6.97
0.0339	7.23
0.101	7.47
0.118	7.68
0.0594	7.95
0.0216	8.18
0.00606	8.38
-0.000844	8.64
-0.00213	8.89
-0.00057	9.15
-0.00176	9.41
-0.00044	9.66
-0.00187	9.92
-0.0023	10.2
-0.00262	10.5
-0.00488	10.7
-0.00408	10.9
0.000767	11.2
0.0457	11.4
0.03	11.7
-0.0334	11.9
-0.117	12.2
-0.0351	12.4
-0.0262	12.6
-0.0144	12.8
-0.00692	13.1
-0.00657	13.3
-0.00442	13.5
-0.00162	13.8
-0.00407	14
-0.00138	14.2
-0.00389	14.5
-0.00334	14.8
-0.000879	15
-0.00382	15.3
0.000813	15.5
-0.000799	15.7
-0.00179	16
-0.00216	16.3
-0.0044	16.5
-0.0016	16.8
-0.00406	17
-0.00342	17.3
-0.00104	17.5
8.54e-05	17.8
0.000772	18
0.00117	18.2
0.00119	18.5
-0.00273	18.8
-0.00275	19.1
-0.00264	19.3
-0.00482	19.6
-0.00574	19.9
-0.00625	20.1
-0.00439	20.4
-0.00577	20.7
-0.00627	20.9
-0.0044	21.1
-0.00359	21.4
-0.00525	21.7
-0.00376	22
0.000596	22.2
-0.00296	22.4
-0.00275	22.7
-0.00476	22.9
-0.00364	23.2
-0.00308	23.4
-0.000879	23.7
-0.00183	23.9
-0.0023	24.1
-0.00254	24.4
-0.0046	24.6
-0.00556	24.9
-0.00404	25.1
-0.00335	25.4
0.000316	25.6
-0.283	25.8
